epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,3.516310e-03,43.00000,35.00000,11393
1,1,3.129245e-03,55.00000,30.00000,1951
1,2,2.835287e-03,53.00000,30.00000,1713
1,3,2.473890e-03,44.00000,35.00000,1958
1,4,2.548723e-03,58.00000,30.00000,840
1,5,2.421283e-03,54.00000,30.00000,702
1,6,2.222673e-03,51.00000,35.00000,712
1,7,2.125261e-03,44.00000,35.00000,695
1,8,2.045441e-03,61.00000,30.00000,620
1,9,1.820418e-03,41.00000,36.00000,640
1,10,1.992402e-03,49.00000,30.00000,713
1,11,1.779608e-03,37.00000,36.00000,918
1,12,1.821631e-03,34.00000,36.00000,749
1,13,1.858467e-03,64.00000,30.00000,980
1,14,1.760503e-03,55.00000,30.00000,1057
1,15,1.602586e-03,56.00000,30.00000,1295
1,16,1.620775e-03,43.00000,35.00000,944
1,17,1.592309e-03,49.00000,30.00000,948
1,18,1.582722e-03,40.00000,36.00000,1187
1,19,1.586970e-03,57.00000,30.00000,823
1,20,1.423090e-03,53.00000,30.00000,1996
1,21,1.334505e-03,25.00000,36.00000,1098
1,22,1.294950e-03,46.00000,36.00000,779
1,23,1.220567e-03,45.00000,36.00000,778
1,24,1.198554e-03,48.00000,35.00000,1039
1,25,1.198560e-03,40.00000,35.00000,968
1,26,1.172898e-03,55.00000,30.00000,758
1,27,1.059956e-03,46.00000,35.00000,1096
1,28,1.102601e-03,47.00000,35.00000,870
1,29,1.231122e-03,35.00000,40.00000,916
1,30,1.080910e-03,42.00000,35.00000,801
1,31,1.127431e-03,48.00000,35.00000,1071
1,32,1.062228e-03,45.00000,35.00000,1194
1,33,1.094776e-03,51.00000,30.00000,1161
1,34,9.876103e-04,46.00000,35.00000,902
1,35,1.127801e-03,55.00000,30.00000,1001
1,36,9.952849e-04,49.00000,35.00000,956
1,37,9.477169e-04,41.00000,36.00000,1019
1,38,1.073993e-03,52.00000,30.00000,964
1,39,1.019597e-03,49.00000,30.00000,972
1,40,9.461198e-04,31.00000,36.00000,916
1,41,1.029883e-03,53.00000,30.00000,1048
1,42,9.529627e-04,47.00000,35.00000,807
1,43,9.272102e-04,31.00000,36.00000,1108
1,44,9.882672e-04,45.00000,35.00000,1077
1,45,9.732989e-04,54.00000,30.00000,1254
1,46,9.038105e-04,45.00000,35.00000,1233
1,47,9.555386e-04,55.00000,30.00000,1072
1,48,9.874625e-04,57.00000,30.00000,952
1,49,9.382456e-04,31.00000,36.00000,1239
1,50,9.170882e-04,49.00000,35.00000,1080
1,51,8.234294e-04,44.00000,40.00000,1137
1,52,8.599009e-04,45.00000,35.00000,1058
1,53,8.995452e-04,49.00000,35.00000,1163
1,54,9.400576e-04,51.00000,35.00000,1185
1,55,9.672959e-04,49.00000,30.00000,1135
1,56,9.674469e-04,42.00000,35.00000,1152
1,57,9.342982e-04,37.00000,36.00000,855
1,58,9.668113e-04,62.00000,30.00000,1121
1,59,1.020970e-03,58.00000,30.00000,921
1,60,1.037301e-03,49.00000,30.00000,1051
1,61,1.044406e-03,59.00000,30.00000,1298
1,62,9.558918e-04,46.00000,35.00000,809
1,63,9.405366e-04,48.00000,35.00000,1045
1,64,9.762625e-04,54.00000,30.00000,822
1,65,9.200241e-04,49.00000,35.00000,1645
1,66,9.378689e-04,43.00000,36.00000,1141
1,67,9.364930e-04,45.00000,35.00000,1783
1,68,9.558820e-04,49.00000,35.00000,808
1,69,9.089534e-04,43.00000,36.00000,1074
1,70,9.550041e-04,40.00000,36.00000,1466
1,71,1.065255e-03,58.00000,30.00000,880
1,72,1.003937e-03,57.00000,30.00000,868
1,73,9.275664e-04,46.00000,36.00000,886
1,74,1.022999e-03,59.00000,30.00000,1099
1,75,9.903830e-04,48.00000,35.00000,1315
1,76,1.014139e-03,47.00000,35.00000,1046
1,77,1.013015e-03,41.00000,36.00000,1057
1,78,1.027498e-03,50.00000,35.00000,861
1,79,1.024521e-03,43.00000,36.00000,1707
1,80,1.070828e-03,49.00000,30.00000,817
1,81,9.684407e-04,58.00000,30.00000,1531
1,82,9.820623e-04,49.00000,35.00000,1004
1,83,1.010417e-03,50.00000,35.00000,751
1,84,1.069241e-03,57.00000,30.00000,1096
1,85,9.982318e-04,43.00000,40.00000,1005
1,86,1.073494e-03,43.00000,35.00000,953
1,87,1.125373e-03,37.00000,35.00000,1084
1,88,1.062465e-03,53.00000,30.00000,1480
1,89,1.077172e-03,49.00000,35.00000,1150
1,90,1.072025e-03,42.00000,35.00000,1009
1,91,1.054439e-03,48.00000,35.00000,899
1,92,1.135266e-03,56.00000,30.00000,1050
1,93,1.180609e-03,54.00000,30.00000,1037
1,94,1.065276e-03,44.00000,35.00000,939
1,95,1.118110e-03,55.00000,30.00000,945
1,96,1.144404e-03,57.00000,30.00000,775
1,97,1.136320e-03,53.00000,30.00000,953
1,98,1.161981e-03,57.00000,30.00000,759
1,99,1.162060e-03,54.00000,30.00000,844
1,100,1.165568e-03,54.00000,30.00000,920
1,101,1.170710e-03,53.00000,30.00000,1024
1,102,1.164441e-03,58.00000,30.00000,1001
1,103,1.118916e-03,48.00000,35.00000,1300
1,104,1.057453e-03,45.00000,36.00000,883
1,105,1.047368e-03,38.00000,35.00000,1302
1,106,1.088419e-03,53.00000,35.00000,1025
1,107,1.077434e-03,52.00000,30.00000,974
1,108,1.082079e-03,55.00000,30.00000,616
1,109,1.134844e-03,48.00000,35.00000,958
1,110,1.072840e-03,43.00000,35.00000,623
1,111,1.108838e-03,55.00000,35.00000,636
1,112,1.141317e-03,58.00000,30.00000,534
1,113,1.128550e-03,56.00000,30.00000,518
1,114,1.093277e-03,54.00000,30.00000,540
1,115,1.136665e-03,53.00000,35.00000,523
1,116,1.210111e-03,49.00000,30.00000,505
1,117,1.165055e-03,57.00000,30.00000,505
1,118,1.148392e-03,55.00000,30.00000,512
1,119,1.073064e-03,35.00000,36.00000,500
1,120,1.128848e-03,57.00000,30.00000,519
1,121,1.148515e-03,49.00000,30.00000,510
1,122,1.132995e-03,54.00000,30.00000,513
1,123,1.124312e-03,45.00000,36.00000,505
1,124,1.108244e-03,40.00000,35.00000,493
1,125,1.126364e-03,53.00000,30.00000,502
2,0,1.100342e-03,50.00000,35.00000,1505
2,1,1.014220e-03,48.00000,35.00000,1336
2,2,1.107772e-03,31.00000,36.00000,1078
